State/UnionTerritory,Latitude (generated),Longitude (generated),Max. Confirmed
West Bengal,24.4206,88.0343,231
Uttarakhand,30.0072,79.2531,37
Uttar Pradesh,27.1861,80.835,773
Tripura,23.7373,91.6575,2
Telengana,17.7956,79.0397,698
Tamil Nadu,10.8327,78.3436,1242
Rajasthan,26.686,73.8182,1023
Punjab,31.0732,75.6577,186
Puducherry,11.9246,79.7813,7
Odisha,20.2057,84.4853,60
Nagaland#,26.1236,94.5493,0
Nagaland,26.1236,94.5493,1
Mizoram,23.2379,92.8631,1
Meghalaya,25.5682,91.2546,7
Manipur,24.7664,93.8647,2
Maharashtra,18.8493,75.4561,2919
Madhya Pradesh,23.5,78.5,1120
Ladakh,33.9361,77.5824,17
Kerala,10.5502,76.4434,388
Karnataka,15.0527,75.5344,315
Jharkhand,23.75,85.5,28
Jammu and Kashmir,33.5619,75.1247,300
Himachal Pradesh,31.8285,77.3118,35
Haryana,29.3031,76.0522,205
Gujarat,23,72,871
Goa,15.3474,74.1033,7
Delhi,28.6415,77.1259,1578
Chhattisgarh,21.5,82,33
Chandigarh,30.7308,76.7808,21
Bihar,25.75,85.75,74
Assam,26.0667,90.7559,33
Arunachal Pradesh,28.0762,94.9823,1
Andhra Pradesh,14.9176,78.7448,534
Andaman and Nicobar Islands,12.612,92.8317,11
